21:08 $ arkb deploy ./new-metadata
? Type your password [hidden]
ID                                           Size           Fee              Type                          Path
cCJT1upugemDPbWpUnEbm7ZPopnc5TYfedN1yOoivPc  2.22 kB        0.000002396721   application/json              12q6LkHZ7Qf9hGfN3RPf
pf7ZUo1M0uVgTaR-ndmA_FuiipAfK1qh8pUIyr4kopA  2.14 kB        0.000002358283   application/json              16bFnAUk9h2ZW3JjNgcZ
H9ubLQ8lIS2PpYxz4BIEwAoCDStMUFyDc4qy5_J-3Ig  2.13 kB        0.000002355225   application/json              13gMFDKJc9jvYjy8TGCz
4KFGtkViRbFeZZCkXr1ka5N7J1SngRgYp8lhSdTwZNc  2.16 kB        0.000002366582   application/json              14L7qQbECLHRa4JcuQL7
fJyAqGBiRoXzY-2vDZHNiusXyg2bTY6Z5Q5cslwEtP4  2.14 kB        0.000002360030   application/json              13hsFSzLkwusBsUBheiN
cH1GH7hf8Nz0-qT5uwUdzz0hZVmUzv67UFIb2DI8dv8  1.90 kB        0.000002252577   application/json              22dajGasdsCXiHix328y
GHUijNrpGlELE7_foA2swARGd42VKfY6V_-iAry87aM  2.05 kB        0.000002320718   application/json              27iNEuspAu8cAMyZHHeU
o1QS2DoiGX9rHiyN8kSg7SeEEXSFZjQ-ACgdu5o9I80  2.51 kB        0.000002524267   application/json              28yiz64VgrBEdupVhyEC
hpwGd02ifBgTRNHUM0YXrpfGIz5qK1vhIobxVjxovYs  2.30 kB        0.000002432102   application/json              295ErE2jWJXcmcrBPfhU
IxXfLF29CR070i6xZKWdbbMa0iUXcw0JYeaAI8KMMdc  2.27 kB        0.000002419435   application/json              291uGtPhneDWjJgV5UbW
1XzCx74CyouQiCv1OGo8MR0donQ28HxfvGZLv_33MsI  2.02 kB        0.000002307614   application/json              29RHA6JpHXamcXNDEgVZ
uQeFD7QrhvK4F4JZ3_Y8ukZ8uHFAlxSVneufDb86AzM  2.12 kB        0.000002352168   application/json              2A2bgUpjdveRrExBwhEX
0aCVHwVDGMgUaeqidX4cvwUTzTEetce47bQQ6MPb3KI  2.20 kB        0.000002384928   application/json              2CoTPRA3oDX2VeBczsWS
Oyc6k9yggcfLhapOiJlBPNkAOth0G7DnhiyYE0NRSfE  1.91 kB        0.000002256945   application/json              2GR1rH3nPXKU9XAycuRm
efcLVpZzG6UfwEC64Elbjeov64mQAXMxFX7Tk0jZdss  1.92 kB        0.000002259566   application/json              2CNg8SqokAAr2emDFsEQ
Sew4t3dYvCMWFU0yOcQQds_wzYL5OoR_goYt0Bl3cYY  2.21 kB        0.000002391916   application/json              2HZdoKCksPtZPySAdu3G
Qm6SbjGiYkcfdcR-_jKnhHXuqOxqywFO7JR_cAUARRc  1.98 kB        0.000002288395   application/json              2GbrRttAqYw1DSsUMBxc
EJ35o1vMGDec44J24yNvqH8tg3i5JyXaXJAREBp-QFs  2.29 kB        0.000002425113   application/json              2HnE6PL3gpCvhVKSix1z
lS0OQ9RDJO0F-X2Tf9FgZ5sm-ZfEXBMrn-Y4HjnlYtc  2.20 kB        0.000002387548   application/json              2JXtPZ9yfBuRYgWqMkiC
ku0AO3vRDPB4haQeyQ2cWtgXdbb6_2kx51Vkl2Fjfms  2.22 kB        0.000002395411   application/json              2JsKMzydb9LhrXCfpwtX
